Data	Time	chamber_VAT_state	act_step_mode	Target_speed	Actual_position_mm	act_step_mode	Target_speed	Actual_position_mm	FUG_Spannung	FUG_Strom	PinnacleA_actPulseFrequency	PinnacleA_actRegulationMode	PinnacleA_actPulseReverseTime	PinnacleA_Voltage	PinnacleA_Current	PinnacleA_power	PinnacleB_actPulseFrequency	PinnacleB_actRegulationMode	PinnacleB_actPulseReverseTime	PinnacleB_Voltage	PinnacleB_Current	PinnacleB_power	Ar_valve	Baratron pressure	Pressure_loadlock	Pressure_Chamber
12.04.2026	00:01:47	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.003e+02	9.902e+02	9.983e+02
12.04.2026	00:01:47	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.969e+01	9.974e+02	9.960e+02
12.04.2026	00:01:48	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.962e+01	9.932e+02	1.001e+03
12.04.2026	00:01:48	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.967e+01	1.001e+03	9.987e+02
12.04.2026	00:01:49	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.005e+02	9.971e+02	1.001e+03
12.04.2026	00:01:49	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.991e+01	1.010e+03	9.918e+02
12.04.2026	00:01:50	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.002e+02	9.930e+02	1.000e+03
12.04.2026	00:01:50	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.952e+01	9.968e+02	9.938e+02
12.04.2026	00:01:51	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.005e+02	1.009e+03	9.968e+02
12.04.2026	00:01:51	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.004e+02	9.901e+02	1.005e+03
12.04.2026	00:01:52	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.968e+01	1.005e+03	1.007e+03
12.04.2026	00:01:52	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.004e+02	9.983e+02	9.920e+02
12.04.2026	00:01:53	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.973e+01	1.005e+03	1.002e+03
12.04.2026	00:01:53	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.003e+02	1.004e+03	1.000e+03
