Data	Time	chamber_VAT_state	act_step_mode	Target_speed	Actual_position_mm	act_step_mode	Target_speed	Actual_position_mm	FUG_Spannung	FUG_Strom	PinnacleA_actPulseFrequency	PinnacleA_actRegulationMode	PinnacleA_actPulseReverseTime	PinnacleA_Voltage	PinnacleA_Current	PinnacleA_power	PinnacleB_actPulseFrequency	PinnacleB_actRegulationMode	PinnacleB_actPulseReverseTime	PinnacleB_Voltage	PinnacleB_Current	PinnacleB_power	Ar_valve	Baratron pressure	Pressure_loadlock	Pressure_Chamber
13.04.2026	09:00:13	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.003e+02	9.902e+02	9.983e+02
13.04.2026	09:00:13	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.969e+01	9.974e+02	9.960e+02
13.04.2026	09:00:14	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.962e+01	9.932e+02	1.001e+03
13.04.2026	09:00:14	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.967e+01	1.001e+03	9.987e+02
13.04.2026	09:00:15	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.005e+02	9.971e+02	1.001e+03
13.04.2026	09:00:16	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.991e+01	1.010e+03	9.918e+02
13.04.2026	09:00:16	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.002e+02	9.930e+02	1.000e+03
13.04.2026	09:00:17	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.952e+01	9.968e+02	9.938e+02
13.04.2026	09:00:17	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.005e+02	1.009e+03	9.968e+02
13.04.2026	09:00:18	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.004e+02	9.901e+02	1.005e+03
13.04.2026	09:00:18	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.968e+01	1.005e+03	1.007e+03
13.04.2026	09:00:19	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.004e+02	9.983e+02	9.920e+02
13.04.2026	09:00:19	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.973e+01	1.005e+03	1.002e+03
13.04.2026	09:00:20	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.003e+02	1.004e+03	1.000e+03
13.04.2026	09:00:20	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.004e+02	9.946e+02	1.006e+03
13.04.2026	09:00:21	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.001e+02	1.006e+03	9.943e+02
13.04.2026	09:00:21	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.000e+02	1.002e+03	9.937e+02
13.04.2026	09:00:22	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.966e+01	9.908e+02	1.009e+03
13.04.2026	09:00:22	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.965e+01	1.007e+03	1.010e+03
13.04.2026	09:00:23	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	9.966e+01	1.001e+03	9.946e+02
13.04.2026	09:00:23	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.002e+02	9.910e+02	9.965e+02
13.04.2026	09:00:24	chamber closed	2	1000	0.0	2	1000	0.0	0.00	0.00	0	8	0.0	0.0	0.0	0.0	0	8	0.0	0.0	0.0	0.0	Ar closed	1.004e+02	1.010e+03	9.916e+02
